basic_rank,numeric,p_0,p_1,p_2,p_3,p_4,p_5
S1,1,0,1,0,0,0,0
S1?,"c(1,2)",0,0.8,0.2,0,0,0
S1S2,"c(1,2)",0,0.5,0.5,0,0,0
S1S3,"c(1,2,3)",0,0.2,0.6,0.2,0,0
S2,2,0,0,1,0,0,0
S2?,"c(1,2,3)",0,0.1,0.8,0.1,0,0
S2S3,"c(2,3)",0,0,0.5,0.5,0,0
S2S4,"c(2,3,4)",0,0,0.2,0.6,0.2,0
S3,3,0,0,0,1,0,0
S3?,"c(2,3,4)",0,0,0.1,0.8,0.1,0
S3S4,"c(3,4)",0,0,0,0.5,0.5,0
S3S5,"c(3,4,5)",0,0,0,0.2,0.6,0.2
S4,4,0,0,0,0,1,0
S4?,"c(3,4,5)",0,0,0,0.1,0.8,0.1
S4S5,"c(4,5)",0,0,0,0,0.5,0.5
S5,5,0,0,0,0,0,1
S5?,"c(4,5)",0,0,0,0,0.2,0.8
SH,"c(0,1)",0.5,0.5,0,0,0,0
SX,0,1,0,0,0,0,0
